	Length	Diameter
1259	0.435	0.315
1260	0.44	0.34
1261	0.45	0.33
1262	0.455	0.345
1264	0.455	0.33
1265	0.46	0.36
1266	0.46	0.35
1268	0.465	0.34
1269	0.47	0.365
1270	0.47	0.355
1271	0.47	0.355
1272	0.475	0.355
1273	0.475	0.38
1274	0.475	0.36
1275	0.48	0.37
1276	0.48	0.355
1277	0.48	0.365
1278	0.495	0.355
1279	0.495	0.38
1281	0.5	0.38
1283	0.5	0.375
1284	0.5	0.41
1285	0.5	0.375
1286	0.5	0.395
1287	0.505	0.405
1288	0.505	0.38
1289	0.505	0.395
1290	0.515	0.38
1291	0.515	0.42
1292	0.515	0.4
1293	0.52	0.4
1294	0.52	0.395
1295	0.525	0.4
1297	0.53	0.415
1298	0.53	0.42
1299	0.53	0.415
1300	0.53	0.425
1301	0.535	0.4
1302	0.535	0.415
1306	0.54	0.42
1307	0.545	0.435
1309	0.545	0.43
1310	0.545	0.405
1311	0.55	0.43
1314	0.55	0.435
1315	0.55	0.425
1317	0.555	0.43
1318	0.555	0.43
1319	0.555	0.425
1320	0.56	0.425
1321	0.56	0.425
1323	0.56	0.455
1324	0.565	0.44
1328	0.57	0.45
1329	0.57	0.45
1332	0.57	0.44
1342	0.585	0.475
1347	0.59	0.445
1354	0.6	0.475
1358	0.605	0.485
1360	0.605	0.435
1366	0.61	0.465
1385	0.63	0.505
1387	0.63	0.475
1429	0.14	0.105
1430	0.23	0.165
1431	0.365	0.265
1432	0.365	0.255
1433	0.37	0.27
1434	0.375	0.28
1435	0.385	0.3
1436	0.395	0.295
1437	0.4	0.29
1438	0.4	0.3
1439	0.405	0.31
1440	0.405	0.29
1441	0.405	0.3
1442	0.41	0.32
1444	0.425	0.34
1445	0.43	0.34
1446	0.44	0.34
1448	0.44	0.365
1450	0.455	0.335
1451	0.46	0.355
1452	0.47	0.345
1453	0.47	0.35
1454	0.47	0.355
1456	0.475	0.365
1458	0.48	0.36
1459	0.485	0.38
1465	0.515	0.395
1467	0.515	0.4
1470	0.53	0.43
1493	0.615	0.475
1531	0.21	0.17
1532	0.285	0.21
1533	0.295	0.215
1534	0.3	0.23
1535	0.305	0.225
1536	0.335	0.255
1537	0.35	0.26
1538	0.355	0.27
1539	0.355	0.26
1540	0.36	0.27
1541	0.36	0.275
1542	0.36	0.265
1543	0.365	0.27
1544	0.37	0.27
1545	0.375	0.28
1546	0.38	0.285
1547	0.38	0.29
1548	0.385	0.29
1549	0.385	0.28
1550	0.385	0.3
1551	0.39	0.3
1552	0.39	0.285
1553	0.39	0.29
1554	0.41	0.3
1555	0.41	0.3
1556	0.415	0.325
1557	0.425	0.325
1558	0.425	0.315
1559	0.435	0.335
1560	0.435	0.325
1561	0.45	0.34
1562	0.45	0.335
1563	0.455	0.36
1564	0.46	0.35
1565	0.46	0.355
1566	0.465	0.37
1567	0.465	0.345
1568	0.47	0.355
1569	0.475	0.36
1571	0.475	0.36
1572	0.48	0.37
1573	0.48	0.37
1575	0.485	0.375
1576	0.49	0.375
1577	0.49	0.4
1578	0.495	0.37
1579	0.495	0.4
1580	0.5	0.4
1581	0.5	0.39
1582	0.5	0.375
1583	0.51	0.395
1585	0.515	0.36
1586	0.515	0.35
1587	0.515	0.395
1588	0.515	0.39
1589	0.52	0.41
1590	0.52	0.39
1592	0.525	0.39
1593	0.525	0.38
1594	0.525	0.4
1596	0.53	0.42
1597	0.53	0.43
1598	0.53	0.4
1599	0.53	0.42
1600	0.535	0.4
1601	0.54	0.43
1602	0.54	0.425
1603	0.54	0.43
1605	0.54	0.42
1606	0.54	0.425
1607	0.54	0.425
1608	0.545	0.4
1609	0.545	0.375
1610	0.545	0.42
1612	0.55	0.425
1613	0.55	0.42
1614	0.55	0.415
1615	0.55	0.425
1616	0.555	0.395
1617	0.555	0.435
1618	0.555	0.46
1619	0.56	0.445
1620	0.56	0.44
1622	0.565	0.42
1628	0.57	0.435
1629	0.57	0.43
1630	0.57	0.445
1631	0.57	0.445
1633	0.575	0.425
1635	0.575	0.45
1638	0.575	0.445
1639	0.575	0.45
1646	0.58	0.445
1649	0.59	0.45
1650	0.59	0.46
1654	0.595	0.46
1658	0.6	0.48
1664	0.605	0.47
1673	0.61	0.465
1678	0.62	0.485
1682	0.62	0.49
1684	0.62	0.47
1685	0.62	0.45
1691	0.625	0.47
1693	0.625	0.485
1699	0.635	0.5
1764	0.275	0.175
1765	0.375	0.245
1768	0.435	0.3
1770	0.455	0.335
1771	0.455	0.325
1772	0.455	0.345
1773	0.465	0.325
1775	0.485	0.365
1777	0.485	0.345
1786	0.535	0.385
1787	0.545	0.42
1794	0.575	0.45
1797	0.585	0.45
1824	0.185	0.135
1825	0.24	0.18
1826	0.31	0.215
1827	0.34	0.26
1828	0.35	0.265
1829	0.365	0.27
1830	0.365	0.275
1831	0.365	0.27
1832	0.39	0.31
1833	0.405	0.3
1834	0.41	0.315
1835	0.41	0.335
1836	0.415	0.31
1837	0.415	0.31
1838	0.415	0.31
1839	0.42	0.325
1840	0.43	0.34
1841	0.435	0.335
1842	0.435	0.33
1843	0.435	0.33
1844	0.435	0.345
1845	0.445	0.33
1846	0.465	0.37
1847	0.47	0.375
1848	0.475	0.34
1849	0.485	0.385
1850	0.485	0.36
1851	0.485	0.37
1852	0.495	0.38
1853	0.495	0.38
1854	0.495	0.375
1855	0.5	0.38
1856	0.505	0.405
1857	0.505	0.4
1859	0.515	0.415
1860	0.515	0.42
1862	0.52	0.41
1863	0.52	0.415
1864	0.52	0.395
1865	0.52	0.38
1866	0.52	0.385
1867	0.525	0.415
1868	0.525	0.405
1869	0.525	0.4
1870	0.53	0.43
1871	0.53	0.43
1872	0.53	0.395
1873	0.53	0.405
1874	0.535	0.455
1876	0.54	0.395
1877	0.54	0.39
1878	0.545	0.425
1879	0.545	0.43
1880	0.55	0.435
1881	0.55	0.45
1885	0.555	0.45
1887	0.56	0.445
1891	0.565	0.435
1893	0.565	0.46
1905	0.575	0.45
1906	0.575	0.45
1912	0.58	0.44
1919	0.605	0.49
1952	0.64	0.49
1958	0.65	0.52
1986	0.135	0.13
1987	0.16	0.11
1988	0.21	0.15
1989	0.28	0.21
1990	0.28	0.2
1991	0.285	0.215
1992	0.29	0.21
1993	0.29	0.21
1994	0.29	0.21
1995	0.32	0.24
1996	0.325	0.25
1997	0.335	0.25
1998	0.35	0.235
1999	0.35	0.25
2000	0.355	0.27
2001	0.36	0.27
2002	0.36	0.27
2003	0.375	0.28
2004	0.375	0.275
2005	0.395	0.29
2006	0.405	0.25
2007	0.415	0.325
2008	0.425	0.315
2009	0.43	0.32
2010	0.435	0.325
2012	0.46	0.35
2014	0.47	0.375
2015	0.475	0.365
2019	0.51	0.455
2036	0.255	0.19
2037	0.27	0.195
2038	0.28	0.215
2039	0.285	0.215
2040	0.32	0.255
2041	0.325	0.24
2042	0.385	0.28
2043	0.395	0.295
2045	0.405	0.31
2046	0.415	0.305
2047	0.42	0.315
2048	0.44	0.305
2049	0.445	0.32
2055	0.465	0.355
2057	0.48	0.35
2059	0.49	0.37
2070	0.55	0.42
2094	0.405	0.305
2100	0.37	0.29
2102	0.41	0.31
2110	0.325	0.25
2111	0.455	0.355
2113	0.385	0.29
2114	0.13	0.095
2115	0.18	0.13
2116	0.31	0.225
2119	0.455	0.37
2121	0.475	0.36
2127	0.4	0.31
2141	0.32	0.24
2142	0.46	0.35
2153	0.28	0.2
2166	0.38	0.28
2169	0.165	0.115
2171	0.19	0.13
2172	0.215	0.15
2184	0.32	0.235
2193	0.215	0.17
2194	0.43	0.325
2195	0.26	0.215
2196	0.37	0.28
2197	0.405	0.305
2198	0.27	0.19
2205	0.275	0.22
2216	0.33	0.26
2226	0.355	0.28
2227	0.275	0.2
2238	0.46	0.335
2244	0.355	0.28
2264	0.59	0.45
2281	0.485	0.415
2283	0.435	0.345
2284	0.405	0.315
2285	0.42	0.33
2288	0.33	0.265
2290	0.325	0.27
2293	0.34	0.26
2298	0.415	0.325
2299	0.495	0.385
2312	0.315	0.24
2320	0.4	0.31
2323	0.395	0.325
2329	0.48	0.39
2330	0.42	0.345
2341	0.31	0.24
2342	0.255	0.185
2343	0.17	0.125
2369	0.56	0.44
2370	0.42	0.325
2374	0.435	0.335
2377	0.535	0.41
2378	0.415	0.325
2382	0.525	0.43
2387	0.47	0.35
2388	0.515	0.375
2393	0.3	0.22
2394	0.625	0.46
2395	0.61	0.475
2396	0.625	0.465
2397	0.635	0.505
2398	0.5	0.385
2400	0.445	0.33
2402	0.44	0.355
2404	0.555	0.455
2405	0.655	0.515
2407	0.625	0.43
2408	0.62	0.485
2411	0.5	0.395
2414	0.42	0.305
2421	0.52	0.415
2425	0.575	0.45
2426	0.565	0.435
2430	0.52	0.38
2434	0.635	0.5
2437	0.335	0.24
2447	0.275	0.205
2453	0.325	0.2
2454	0.275	0.2
2455	0.235	0.17
2456	0.25	0.18
2457	0.25	0.185
2458	0.2	0.145
2485	0.355	0.26
2493	0.42	0.31
2502	0.285	0.21
2503	0.3	0.23
2504	0.31	0.24
2505	0.34	0.255
2506	0.375	0.3
2507	0.415	0.325
2508	0.415	0.315
2509	0.415	0.315
2510	0.42	0.32
2511	0.425	0.31
2514	0.47	0.37
2516	0.475	0.365
2519	0.505	0.39
2537	0.66	0.525
2545	0.205	0.15
2546	0.225	0.17
2547	0.23	0.18
2548	0.275	0.195
2549	0.28	0.21
2550	0.28	0.22
2551	0.295	0.22
2552	0.31	0.225
2553	0.315	0.235
2554	0.34	0.265
2555	0.37	0.29
2556	0.38	0.285
2557	0.39	0.295
2558	0.405	0.31
2559	0.415	0.325
2560	0.44	0.335
2561	0.44	0.345
2562	0.44	0.325
2563	0.44	0.355
2564	0.45	0.35
2565	0.45	0.35
2568	0.46	0.345
2569	0.46	0.345
2570	0.465	0.355
2572	0.475	0.385
2573	0.475	0.355
2576	0.5	0.38
2577	0.505	0.385
2626	0.22	0.16
2627	0.275	0.205
2628	0.29	0.21
2629	0.33	0.24
2630	0.355	0.285
2631	0.375	0.29
2632	0.415	0.315
2633	0.425	0.33
2634	0.425	0.34
2635	0.43	0.32
2636	0.44	0.34
2637	0.44	0.335
2638	0.46	0.345
2639	0.46	0.37
2640	0.465	0.355
2641	0.475	0.365
2642	0.475	0.375
2643	0.485	0.375
2644	0.49	0.375
2646	0.495	0.38
2647	0.5	0.39
2650	0.51	0.395
2651	0.51	0.385
2652	0.515	0.4
2653	0.52	0.395
2658	0.55	0.42
2660	0.555	0.425
2711	0.19	0.14
2712	0.21	0.15
2713	0.25	0.175
2714	0.29	0.215
2715	0.335	0.25
2716	0.34	0.245
2717	0.345	0.255
2718	0.355	0.255
2719	0.36	0.26
2720	0.37	0.275
2721	0.375	0.29
2722	0.375	0.275
2723	0.385	0.3
2724	0.385	0.285
2725	0.395	0.32
2726	0.4	0.305
2727	0.405	0.305
2728	0.405	0.31
2729	0.405	0.305
2730	0.405	0.3
2731	0.41	0.315
2732	0.41	0.325
2733	0.415	0.335
2734	0.42	0.325
2735	0.42	0.315
2736	0.43	0.34
2737	0.445	0.36
2739	0.45	0.335
2740	0.455	0.34
2741	0.46	0.35
2742	0.46	0.345
2743	0.475	0.355
2745	0.485	0.38
2746	0.485	0.365
2747	0.49	0.365
2748	0.505	0.385
2749	0.505	0.38
2750	0.51	0.385
2753	0.515	0.39
2754	0.525	0.385
2756	0.525	0.4
2757	0.525	0.375
2760	0.55	0.43
2761	0.55	0.425
2762	0.55	0.42
2763	0.55	0.425
2764	0.55	0.465
2765	0.555	0.435
2767	0.56	0.44
2768	0.56	0.435
2769	0.565	0.43
2775	0.585	0.46
2777	0.585	0.42
2812	0.24	0.17
2813	0.255	0.195
2814	0.275	0.2
2815	0.32	0.235
2816	0.325	0.24
2817	0.33	0.225
2818	0.36	0.27
2819	0.375	0.265
2820	0.375	0.285
2821	0.39	0.29
2822	0.45	0.335
2823	0.455	0.35
2824	0.46	0.365
2825	0.495	0.375
2827	0.5	0.375
2829	0.52	0.395
2864	0.31	0.23
2865	0.315	0.235
2866	0.32	0.205
2867	0.325	0.25
2868	0.335	0.26
2869	0.37	0.28
2870	0.37	0.27
2871	0.375	0.28
2872	0.4	0.315
2873	0.41	0.305
2874	0.425	0.34
2875	0.435	0.335
2876	0.445	0.31
2877	0.46	0.36
2879	0.47	0.385
2880	0.475	0.375
2881	0.495	0.375
2882	0.5	0.39
2883	0.5	0.37
2884	0.505	0.425
2885	0.505	0.4
2887	0.51	0.4
2888	0.51	0.4
2889	0.52	0.4
2891	0.53	0.38
2894	0.54	0.425
2895	0.54	0.415
2896	0.545	0.43
2897	0.545	0.43
2898	0.55	0.435
2899	0.55	0.425
2901	0.56	0.43
2902	0.56	0.435
2904	0.575	0.455
2912	0.585	0.45
2914	0.59	0.46
2915	0.59	0.475
2918	0.6	0.445
2925	0.605	0.48
2926	0.61	0.425
2929	0.61	0.49
2962	0.67	0.485
2975	0.32	0.215
2976	0.43	0.345
2977	0.43	0.33
2980	0.5	0.37
2985	0.535	0.4
2992	0.595	0.43
3009	0.255	0.185
3010	0.375	0.26
3011	0.375	0.285
3012	0.39	0.3
3013	0.39	0.28
3014	0.395	0.3
3015	0.42	0.32
3016	0.435	0.335
3017	0.435	0.325
3018	0.44	0.32
3019	0.45	0.33
3020	0.45	0.34
3021	0.455	0.355
3022	0.46	0.37
3023	0.47	0.375
3024	0.475	0.375
3025	0.495	0.33
3026	0.495	0.375
3027	0.5	0.38
3028	0.515	0.385
3029	0.52	0.41
3030	0.52	0.395
3031	0.525	0.4
3032	0.535	0.42
3035	0.55	0.405
3036	0.55	0.445
3038	0.565	0.44
3042	0.575	0.43
3044	0.575	0.445
3048	0.59	0.47
3058	0.62	0.475
3083	0.225	0.17
3084	0.23	0.17
3085	0.255	0.185
3086	0.355	0.27
3087	0.425	0.31
3088	0.425	0.32
3105	0.29	0.215
3106	0.3	0.22
3107	0.37	0.275
3108	0.375	0.285
3109	0.38	0.29
3110	0.395	0.3
3111	0.41	0.325
3112	0.415	0.32
3113	0.425	0.325
3114	0.44	0.34
3115	0.44	0.34
3139	0.335	0.26
3141	0.18	0.135
3142	0.215	0.165
3143	0.2	0.15
3160	0.275	0.2
3175	0.51	0.405
3179	0.27	0.195
3190	0.2	0.145
3196	0.325	0.245
3197	0.31	0.235
3206	0.295	0.215
3207	0.48	0.38
3208	0.32	0.25
3209	0.43	0.34
3225	0.44	0.35
3228	0.42	0.325
3236	0.345	0.285
3251	0.455	0.375
3253	0.43	0.35
3255	0.3	0.23
3305	0.6	0.445
3306	0.41	0.3
3309	0.485	0.355
3314	0.45	0.355
3321	0.49	0.385
3324	0.375	0.28
3326	0.55	0.415
3327	0.635	0.48
3328	0.575	0.475
3332	0.44	0.34
3333	0.45	0.36
3334	0.39	0.3
3337	0.66	0.525
3340	0.54	0.435
3344	0.495	0.38
3346	0.47	0.4
3348	0.49	0.385
3349	0.47	0.375
3350	0.445	0.345
3353	0.475	0.365
3355	0.435	0.34
3356	0.39	0.3
3357	0.375	0.285
3359	0.58	0.445
3363	0.54	0.405
3365	0.44	0.31
3367	0.59	0.465
3368	0.61	0.48
3369	0.61	0.46
3372	0.44	0.33
3376	0.31	0.235
3377	0.255	0.19
3379	0.295	0.21
3380	0.19	0.13
3403	0.35	0.265
3405	0.34	0.25
3406	0.35	0.28
3407	0.35	0.265
3408	0.39	0.315
3409	0.395	0.31
3410	0.415	0.31
3411	0.43	0.32
3412	0.48	0.355
3428	0.25	0.18
3429	0.28	0.21
3430	0.325	0.24
3431	0.35	0.265
3432	0.36	0.27
3433	0.365	0.27
3434	0.37	0.28
3435	0.375	0.285
3436	0.38	0.275
3437	0.395	0.3
3438	0.43	0.335
3439	0.44	0.35
3440	0.465	0.37
3443	0.485	0.37
3445	0.495	0.4
3446	0.5	0.385
3472	0.165	0.12
3473	0.21	0.15
3474	0.355	0.265
3475	0.4	0.315
3476	0.4	0.29
3477	0.4	0.3
3478	0.435	0.335
3479	0.44	0.33
3480	0.45	0.34
3481	0.465	0.345
3482	0.47	0.355
3483	0.47	0.355
3484	0.475	0.42
3485	0.485	0.37
3487	0.51	0.405
3488	0.52	0.38
3521	0.215	0.15
3522	0.24	0.185
3523	0.26	0.205
3524	0.32	0.24
3525	0.33	0.23
3526	0.335	0.26
3527	0.35	0.26
3528	0.35	0.265
3529	0.36	0.265
3530	0.36	0.265
3531	0.365	0.275
3532	0.38	0.285
3533	0.4	0.31
3534	0.4	0.315
3535	0.4	0.265
3536	0.425	0.325
3537	0.43	0.325
3539	0.435	0.34
3540	0.445	0.355
3541	0.45	0.35
3542	0.455	0.435
3543	0.46	0.34
3544	0.475	0.355
3545	0.475	0.36
3546	0.475	0.35
3547	0.48	0.355
3549	0.5	0.365
3551	0.515	0.4
3552	0.525	0.39
3553	0.53	0.405
3554	0.53	0.42
3556	0.535	0.41
3557	0.54	0.41
3558	0.55	0.425
3561	0.57	0.42
3563	0.575	0.455
3564	0.575	0.44
3567	0.58	0.46
3568	0.58	0.46
3569	0.58	0.47
3586	0.63	0.465
3600	0.175	0.125
3601	0.37	0.285
3602	0.395	0.3
3603	0.42	0.325
3604	0.455	0.37
3605	0.495	0.375
3629	0.27	0.205
3630	0.285	0.225
3631	0.295	0.22
3632	0.3	0.225
3633	0.3	0.22
3634	0.36	0.265
3635	0.37	0.275
3636	0.39	0.29
3637	0.435	0.325
3638	0.44	0.34
3639	0.44	0.32
3640	0.445	0.345
3641	0.465	0.37
3642	0.465	0.355
3643	0.47	0.345
3644	0.475	0.365
3645	0.475	0.335
3646	0.475	0.35
3647	0.485	0.365
3648	0.49	0.39
3649	0.515	0.405
3650	0.52	0.415
3651	0.525	0.405
3653	0.53	0.425
3654	0.53	0.42
3656	0.53	0.395
3658	0.535	0.45
3661	0.55	0.415
3662	0.55	0.45
3663	0.55	0.4
3664	0.555	0.43
3665	0.575	0.45
3666	0.575	0.44
3669	0.585	0.46
3671	0.595	0.47
3684	0.62	0.47
3687	0.625	0.485
3688	0.63	0.49
3716	0.235	0.13
3717	0.35	0.25
3718	0.36	0.25
3719	0.38	0.28
3722	0.465	0.36
3723	0.47	0.355
3726	0.5	0.395
3728	0.51	0.375
3744	0.275	0.205
3745	0.285	0.205
3746	0.36	0.265
3747	0.385	0.29
3748	0.4	0.315
3749	0.43	0.33
3750	0.435	0.375
3751	0.45	0.335
3752	0.475	0.355
3753	0.475	0.36
3754	0.485	0.37
3755	0.51	0.395
3756	0.515	0.39
3757	0.52	0.41
3758	0.525	0.4
3762	0.53	0.395
3763	0.53	0.41
3764	0.535	0.4
3765	0.535	0.45
3770	0.565	0.43
3771	0.575	0.45
3774	0.58	0.42
3778	0.59	0.45
3783	0.62	0.48
3801	0.205	0.155
3802	0.305	0.23
3803	0.32	0.23
3804	0.355	0.27
3806	0.425	0.31
3810	0.525	0.4
3813	0.35	0.26
3814	0.38	0.275
3815	0.46	0.34
3837	0.17	0.105
3838	0.335	0.25
3846	0.37	0.275
3856	0.335	0.255
3864	0.32	0.235
3873	0.33	0.25
3880	0.38	0.3
3884	0.29	0.225
3885	0.41	0.33
3893	0.435	0.355
3899	0.14	0.105
3902	0.16	0.12
3907	0.48	0.39
3908	0.455	0.365
3911	0.355	0.27
3912	0.52	0.405
3913	0.54	0.4
3914	0.52	0.39
3915	0.56	0.445
3917	0.615	0.46
3919	0.565	0.43
3922	0.525	0.4
3926	0.58	0.42
3927	0.5	0.38
3928	0.725	0.55
3931	0.55	0.44
3933	0.235	0.18
3934	0.235	0.175
3945	0.235	0.175
3952	0.315	0.235
3953	0.465	0.355
3955	0.49	0.385
3963	0.27	0.205
3964	0.27	0.19
3965	0.295	0.22
3966	0.295	0.22
3967	0.315	0.23
3968	0.375	0.29
3969	0.38	0.3
3970	0.385	0.285
3971	0.4	0.295
3973	0.415	0.33
3974	0.42	0.32
3975	0.44	0.33
3976	0.45	0.35
3977	0.475	0.35
3982	0.58	0.435
3994	0.185	0.135
3995	0.245	0.175
3996	0.315	0.23
3997	0.36	0.27
3998	0.375	0.28
3999	0.415	0.31
4000	0.455	0.35
4001	0.48	0.35
4002	0.485	0.375
4003	0.51	0.39
4023	0.275	0.2
4024	0.33	0.245
4025	0.33	0.26
4026	0.365	0.28
4027	0.365	0.27
4028	0.42	0.31
4029	0.435	0.335
4030	0.435	0.325
4031	0.44	0.325
4032	0.485	0.365
